id,customer_name,restaurant_name,cuisine_type,location,price_range,rating,liked
14,Sophia Singh,Bangalore Biryani,Indian,Whitefield,1191,4.5,1
7,Rakesh Singh,Bengaluru Grill,Indian,Koramangala,1515,4.4,1
12,Kumar Patel,Bangalore Rolls,Italian,Hebbal,1090,3.9,0
9,Ananya Patel,Bangalore Rolls,American,Bommanahalli,1010,4.2,0
4,Kumar Patel,Bangalore Biryani,Indian,Marathahalli,1722,4.6,1
4,Sophia Singh,Bangalore Sushi,Indian,Marathahalli,1512,4.4,1
12,Mira Gupta,Bangalore Sandwich,Indian,Banashankari,1000,3.8,0
10,Rakesh Singh,Bengaluru Grill,Italian,Jayanagar,1487,4.3,0
15,Aisha Khan,Bangalore Paratha,Japanese,Malleswaram,1800,4.5,1
5,Rajesh Kumar,Bangalore Thali,Indian,Indiranagar,1601,4.7,0
10,Ravi Verma,Bangalore Thali,Indian,Hebbal,1248,4.4,1
15,Megha Singh,Bangalore Pancake,American,Bellandur,1228,4.5,0
10,Mira Gupta,Bangalore Sandwich,Japanese,Bommanahalli,1175,4.1,0
14,Nisha Patel,Bengaluru Grill,Indian,Domlur,1062,4.0,1
11,Aarav Singh,Spice Villa,Indian,Koramangala,1078,3.8,0
5,Aisha Khan,Bangalore Thali,Indian,Whitefield,1752,4.0,1
10,Kumar Patel,Bangalore Thali,Japanese,Banashankari,1104,4.4,0
11,Ravi Verma,Bangalore Pizza,Indian,Jayanagar,1176,4.0,0
13,Megha Singh,Bangalore Bites,Japanese,Koramangala,1757,4.3,1
15,Priya Gupta,Bangalore Burger,American,Jayanagar,1788,4.5,0
12,Ravi Verma,Bangalore Bites,Indian,Malleswaram,1364,4.2,0
4,Priya Gupta,Bangalore Biryani,Indian,Jayanagar,1525,4.6,1
15,Vinay Kumar,Bangalore Burger,American,Hebbal,1249,3.8,0
5,Sophia Singh,Bangalore Dosa,Indian,Jayanagar,1109,4.4,1
10,Priya Gupta,Bengaluru Grill,Italian,Koramangala,1433,4.0,0
10,Rakesh Singh,Bangalore Burger,Indian,Electronic City,1202,4.0,0
15,Ravi Verma,Bangalore Pasta,Indian,Jayanagar,1710,4.7,1
8,Jyothi Reddy,Spice Villa,Indian,Banashankari,1510,4.2,1
12,Kavita Naidu,Bangalore Pasta,Indian,Jayanagar,1800,4.3,0
1,Mira Gupta,Bangalore Thali,Indian,Electronic City,1800,4.1,1
10,Aarav Singh,Bangalore Sandwich,Mediterranean,Hebbal,1000,4.0,0
7,Rakesh Singh,Bengaluru Grill,Indian,Koramangala,1162,4.4,0
8,Mira Gupta,Bangalore Masala,Indian,Jayanagar,1105,3.9,0
10,Ravi Verma,Bangalore Masala,Indian,Bellandur,1469,3.8,0
1,Aarav Singh,Bangalore Thali,Indian,Indiranagar,1400,3.8,0
6,Megha Singh,Bangalore Pasta,Indian,Indiranagar,1389,4.3,1
10,Kumar Patel,Bangalore Pizza,Italian,Banashankari,1727,4.4,1
2,Jyothi Reddy,Bangalore Burger,Indian,Whitefield,1598,3.8,0
1,Ananya Patel,Bangalore Pancake,Indian,Jayanagar,1782,4.6,1
15,Aisha Khan,Bangalore Sushi,Japanese,Koramangala,1800,4.7,1
15,Aisha Khan,Bangalore Bites,Japanese,Electronic City,1613,4.7,1
13,Megha Singh,Bangalore Sandwich,Mediterranean,Jayanagar,1526,4.3,1
5,Rajesh Kumar,Bangalore Burger,Indian,Koramangala,1476,4.3,1
14,Sophia Singh,Bangalore Pasta,American,Koramangala,1800,4.4,0
15,Mira Gupta,Bangalore Paratha,Indian,Koramangala,1190,3.8,1
4,Kavita Naidu,Bangalore Masala,Indian,Jayanagar,1491,4.3,1
10,Nisha Patel,Bangalore Sushi,Indian,Malleswaram,1503,4.7,1
4,Rajesh Kumar,Bengaluru Grill,Indian,Jayanagar,1542,3.9,1
8,Vinay Kumar,Bangalore Rolls,Indian,Banashankari,1000,3.8,0
3,Ananya Patel,Bangalore Paratha,Indian,Indiranagar,1574,4.3,1
10,Ananya Patel,Bangalore Pasta,Indian,Banashankari,1800,4.1,1
6,Ananya Patel,Bangalore Pizza,Indian,Koramangala,1000,4.0,1
9,Rakesh Singh,Bangalore Burger,American,Banashankari,1108,3.8,0
13,Sophia Singh,Bangalore Sushi,Indian,Electronic City,1726,4.5,1
11,Kumar Patel,Bangalore Sandwich,American,Hebbal,1000,3.9,0
10,Ravi Verma,Bangalore Burger,Indian,Hebbal,1069,4.3,1
4,Jyothi Reddy,Bangalore Pancake,Indian,Koramangala,1626,4.0,0
2,Nisha Patel,Bangalore Paratha,Indian,Malleswaram,1454,4.4,1
4,Aarav Singh,Bangalore Burger,Indian,Indiranagar,1800,4.4,0
